StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone
SID_2024279,96,95.57,Paid,10,74.59,1,Graduate,jodysteele@example.net,(892)257-2589x79264
SID_2024280,87,84.37,Paid,6,90.79,1,Graduate,rickeyhaas@example.net,+1-291-714-5630x563
SID_2024281,46,30.49,Overdue,2,25.97,0,Dropout,katherine89@example.net,270.529.1943
SID_2024282,92,83.69,Due,5,57.09,0,Enrolled,christianwilson@example.org,273-669-2600x220
SID_2024283,49,48.05,Overdue,3,36.38,0,Dropout,conwayevan@example.com,+1-885-769-2238
SID_2024284,89,84.13,Paid,7,75.26,0,Graduate,robertconley@example.net,(259)597-0047
SID_2024285,89,76.73,Paid,8,71.5,0,Graduate,morrisdana@example.net,266.717.0417
SID_2024286,63,60.84,Overdue,3,56.08,0,Dropout,wolsen@example.net,695-387-7988
SID_2024287,95,82.55,Paid,6,72.22,0,Graduate,thorntonmichael@example.com,(508)877-2271
SID_2024288,50,47.37,Due,1,54.57,0,Dropout,alexanderdarren@example.org,+1-849-714-8842
SID_2024289,87,61.78,Paid,3,58.72,0,Enrolled,brian49@example.net,001-327-435-2490x7386
SID_2024290,47,52.23,Due,2,28.33,0,Dropout,jenniferroach@example.com,(332)837-9594x70550
SID_2024291,87,77.46,Paid,14,90.99,0,Graduate,andrea06@example.com,776-967-1716
SID_2024292,89,85.75,Paid,7,84.98,1,Graduate,markjohnson@example.org,335-586-6541x45678
SID_2024293,90,60.33,Due,8,62.39,0,Enrolled,katherinezimmerman@example.com,713.387.3800x4332
SID_2024294,73,76.19,Due,9,61.53,0,Enrolled,justin17@example.net,440-432-2203x732
SID_2024295,93,81.69,Paid,7,60.77,1,Enrolled,kevin37@example.com,(383)741-2806x0940
SID_2024296,77,67.38,Paid,6,79.83,1,Enrolled,conwaychristopher@example.org,943.488.4727x600
SID_2024297,80,84.02,Paid,7,57.74,0,Enrolled,ngarcia@example.net,973-950-1863x7544
SID_2024298,48,31.72,Overdue,3,52.01,0,Dropout,jonathan11@example.com,+1-312-849-7738x56920
SID_2024299,94,81.21,Paid,12,86.98,0,Graduate,phillipsjessica@example.net,685.606.2609x293
SID_2024300,98,93.89,Paid,8,92.87,0,Graduate,dennis57@example.org,815-964-9539x0149
